product_code,product_name,price,cost,main_feature,target_cat,tags
GOSTICK01,고스틱,12000,4000,고양이 사냥본능을 자극하는 낚싯대 장난감,활동량 많은 고양이를 키우는 집사,사냥본능|점프|낚싯대|운동
PLAGO01,플라고스틱,7000,2500,가볍고 부담 없이 시작하는 고양이 장난감,초보 집사,가성비|입문용|장난감
REFILL01,고스틱 리필,2900,900,기존 고스틱에 교체해 쓰는 리필,기존 구매자,리필|재구매|소모품
